"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ARLN",1.38622446854697e-12,0.843367342623062,1,1,1.46440752857302e-08,"0","ARLN"
"DLGAP4",7.16453563143205e-11,0.925219225617357,0.952,0.981,7.56861544104481e-07,"0","DLGAP4"
"ITGA2B",8.67817103984341e-11,0.360472783049268,0.347,0.686,9.16761988649058e-07,"0","ITGA2B"
"VAT1",6.00972827058399e-10,1.25523496795706,0.952,0.956,6.34867694504493e-06,"0","VAT1"
"SERINC1",7.98027866011353e-10,0.98393288430329,0.973,0.975,8.43036637654393e-06,"0","SERINC1"
"EID1",1.19729515191125e-09,0.611302962299998,1,0.994,1.26482259847904e-05,"0","EID1"
"DUSP4",1.54518375872215e-09,1.35126046236793,0.932,0.969,1.63233212271408e-05,"0","DUSP4"
"ARF4",1.86119564205001e-09,0.535237499334553,1,0.994,1.96616707626163e-05,"0","ARF4"
"RPS27",2.21731744076692e-09,0.418543011219757,1,1,2.34237414442617e-05,"0","RPS27"
"TSC22D3",3.80287001888746e-09,1.27749225525516,0.952,0.981,4.01735188795271e-05,"0","TSC22D3"
"LRRC75A",4.60747151542762e-09,1.14785673480122,1,0.994,4.86733290889774e-05,"0","LRRC75A"
"TCP11L2",8.78424222250374e-09,1.85126481557434,0.816,0.667,9.27967348385295e-05,"0","TCP11L2"
"SELENOM",1.57633859299011e-08,1.06421159220652,0.932,0.956,0.000166524408963475,"0","SELENOM"
"FTL",1.59271686950291e-08,0.709453237665155,1,1,0.000168254610094287,"0","FTL"
"S100A6",1.99460248317962e-08,0.978785805467627,0.993,1,0.000210709806323095,"0","S100A6"
"RPS11",2.42119950755182e-08,0.421781372484894,1,1,0.000255775515977774,"0","RPS11"
"MYOF",2.99996558705828e-08,1.08126619609345,0.973,0.962,0.000316916364616837,"0","MYOF"
"MVP",4.52275736861907e-08,0.814698765487184,0.946,0.893,0.000477784088420918,"0","MVP"
"TSC22D1",5.38066668998027e-08,1.19416051027708,0.898,0.956,0.000568413629129516,"0","TSC22D1"
"TMEM120B",6.60364665172608e-08,1.39022645047456,0.878,0.925,0.000697609232288343,"0","TMEM120B"
"UBC",6.64981512077389e-08,0.507301444263668,1,1,0.000702486469358554,"0","UBC"
"EIF4B",7.14632686360517e-08,0.545702373133785,1,1,0.00075493796987125,"0","EIF4B"
"EIF1",7.62374821050571e-08,0.46386759277509,1,1,0.000805372760957823,"0","EIF1"
"RPS14",1.37558983537289e-07,0.30399263803128,1,1,0.00145317310208792,"0","RPS14"
"ZNF780B",1.56705833638301e-07,0.537076522095127,0.306,0.648,0.00165544042655502,"0","ZNF780B"
"PLEC",1.70992833670169e-07,0.744220764413398,0.993,1,0.00180636829489167,"0","PLEC"
"RTL8C",1.8093681841691e-07,1.04900805874122,0.939,0.943,0.00191141654975624,"0","RTL8C"
"SBDS",1.87210122515324e-07,0.660109187487714,0.966,0.987,0.00197768773425189,"0","SBDS"
"RPL12",2.00745242207034e-07,0.563755752561862,1,1,0.00212067273867511,"0","RPL12"
"LEKR1",2.51275010525623e-07,0.537539292845681,0.252,0.616,0.00265446921119269,"0","LEKR1"
