"gene","logFC_hyp","logFC_circ","score"
"VEGFA",5.3812542100693,0.618094078819245,5.99934828888854
"CLYBL",5.50155973380698,0.432682806132414,5.9342425399394
"ZBTB26",4.81178528251673,1.10047995847299,5.91226524098972
"ZNF691",5.58457681095434,0.277274396053375,5.86185120700771
"PDGFB",4.74011062601889,1.01689070705519,5.75700133307408
"SLC26A1",-4.78257127828892,-0.917263201138518,5.69983447942744
"PIERCE2",5.610861616967,0.0706988850032415,5.68156050197024
"DIPK1B",5.50188478940061,0.084205591496068,5.58609038089668
"CISH",5.01880426373677,0.322481036612921,5.34128530034969
"HPX",4.47456357471139,0.756181976312495,5.23074555102389
"PDZRN3",4.00896105044221,0.91888689556245,4.92784794600466
"TUBB1",0.91997676573532,3.9481865340039,4.86816329973922
"JAM3",2.88706358066525,1.96572322460187,4.85278680526712
"PTPN13",4.76855587301512,0.0792271779782983,4.84778305099342
"TAGLN",-4.47767997154266,-0.343201316630392,4.82088128817305
"ZNF771",4.7482551096207,0.0437577488494192,4.79201285847012
"INHA",4.19114080111541,0.548600640175799,4.73974144129121
"PARP11",4.33038287751627,0.35188087171958,4.68226374923585
"LDLRAD4",4.29146882163072,0.368161348614741,4.65963017024546
"IRX5",4.30593845096066,0.327824102966254,4.63376255392691
"H3C10",3.44015397724568,1.0996796473039,4.53983362454959
"RAB3A",-4.25826677288358,-0.148790166206892,4.40705693909047
"TMEM139",4.25599184641413,0.0964474328366332,4.35243927925076
"SPTSSB",3.93814240914212,0.354794828005744,4.29293723714786
"MUC5B",3.39448261914382,0.89232800808557,4.28681062722939
"EEPD1",4.25403660297912,0.0170564620123013,4.27109306499142
"TVP23C-CDRT4",4.04387803862654,0.199779518242809,4.24365755686935
"TMPRSS2",3.51166306720808,0.650163111698969,4.16182617890705
"SLC67A1-AS",-3.91433514871398,-0.200135579575169,4.11447072828915
"TSEN34",-3.9820896596629,-0.0876269564465559,4.06971661610946
"BATF",3.70645934232222,0.27776371966359,3.98422306198581
"RBP1",3.81373881440642,0.159690447324019,3.97342926173044
"PPP1R11",3.85104729179974,0.107975503187386,3.95902279498712
"PARD6G",-3.40497453163284,-0.546108629380896,3.95108316101373
"MRPL45",3.75179758845027,0.198703009462801,3.95050059791307
"COL4A5",3.66128730599053,0.258986124755327,3.92027343074586
"ANXA9",3.41865317134118,0.485617690608216,3.90427086194939
"EFCAB7",3.73321755158752,0.142743492003218,3.87596104359074
"FOXO1",3.53350726369021,0.326918073502798,3.86042533719301
"STC2",3.19455332442952,0.647801469325974,3.8423547937555
"KDM6B",-3.73029334967183,-0.0388718226770979,3.76916517234893
"CMYA5",3.19177233722556,0.517006945494678,3.70877928272024
"CCNG2",3.02687566113041,0.630042829455166,3.65691849058558
"ARHGEF38",3.5432284368899,0.0888455372921073,3.63207397418201
