sample_id,dataset,model,cell type,hypoxia_red,hypoxia_score,hypoxia
GSM3610995,GSE126669,Br61,Circulating tumor cells (CTCs),Negative,Negative,Negative
GSM3610996,GSE126669,Br61,Circulating tumor cells (CTCs),Positive,Positive,Positive
GSM3610997,GSE126669,Br16,Circulating tumor cells (CTCs),Positive,Positive,Positive
GSM3610998,GSE126669,Br16,Circulating tumor cells (CTCs),Positive,Positive,Positive
GSM3610999,GSE126669,Br16,Circulating tumor cells (CTCs),Negative,Negative,Negative
GSM3611000,GSE126669,Br16,Circulating tumor cells (CTCs),Negative,Negative,Negative
GSM3611001,GSE126669,Br16,Circulating tumor cells (CTCs),Positive,Positive,Positive
GSM3611002,GSE126669,Br16,Circulating tumor cells (CTCs),Positive,Positive,Positive
GSM3611003,GSE126669,LM2,Circulating tumor cells (CTCs),Negative,Negative,Negative
GSM3611004,GSE126669,LM2,Circulating tumor cells (CTCs),Positive,Positive,Positive
GSM3611005,GSE126669,LM2,Circulating tumor cells (CTCs),Negative,Negative,Negative
GSM3611006,GSE126669,LM2,Circulating tumor cells (CTCs),Negative,Negative,Negative
GSM3611007,GSE126669,LM2,Circulating tumor cells (CTCs),Negative,Negative,Negative
GSM3611008,GSE126669,LM2,Circulating tumor cells (CTCs),Negative,Negative,Negative
GSM3611009,GSE126669,LM2,Circulating tumor cells (CTCs),Positive,Positive,Positive
GSM3611010,GSE126669,LM2,Circulating tumor cells (CTCs),Negative,Negative,Negative
GSM3611011,GSE126669,LM2,Circulating tumor cells (CTCs),Negative,Negative,Negative
GSM3611012,GSE126669,LM2,Circulating tumor cells (CTCs),Positive,Positive,Positive
GSM3611013,GSE126669,LM2,Circulating tumor cells (CTCs),Positive,Positive,Positive
GSM3611014,GSE126669,LM2,Circulating tumor cells (CTCs),Negative,Negative,Negative
GSM3611015,GSE126669,LM2,Circulating tumor cells (CTCs),Negative,Negative,Negative
GSM3611016,GSE126669,Br16,Circulating tumor cells (CTCs),Positive,Positive,Positive
GSM3611017,GSE126669,Br16,Circulating tumor cells (CTCs),Positive,Positive,Positive
GSM3611018,GSE126669,Br16,Circulating tumor cells (CTCs),Positive,Positive,Positive
GSM3611019,GSE126669,Br16,Circulating tumor cells (CTCs),Negative,Negative,Negative
GSM3611020,GSE126669,Br16,Circulating tumor cells (CTCs),Negative,Negative,Negative
GSM3611021,GSE126669,Br16,Circulating tumor cells (CTCs),Negative,Negative,Negative
GSM3611022,GSE126669,LM2,Circulating tumor cells (CTCs),Positive,Positive,Positive
GSM3611023,GSE126669,LM2,Circulating tumor cells (CTCs),Positive,Positive,Positive
GSM3611024,GSE126669,LM2,Circulating tumor cells (CTCs),Negative,Negative,Negative
GSM3611025,GSE126669,LM2,Circulating tumor cells (CTCs),Negative,Negative,Negative
