"source","target","weight"
"GSE126669_CD_190","GSE126669_CD_180",0.176470588235294
"GSE126669_CD_208","GSE126669_CD_180",0.176470588235294
"GSE126669_CD_222","GSE126669_CD_180",0.176470588235294
"GSE126669_CD_264","GSE126669_CD_180",0.176470588235294
"GSE126669_CD_Br16_50","GSE126669_CD_180",0.142857142857143
"GSE126669_CD_Br16_53","GSE126669_CD_180",0.142857142857143
"GSE126669_CD_Br16_55","GSE126669_CD_180",0.290322580645161
"GSE126669_CD_Br16_57","GSE126669_CD_180",0.176470588235294
"GSE126669_CD_Br16_63","GSE126669_CD_180",0.25
"GSE126669_CD_Br16_65","GSE126669_CD_180",0.25
"BR16_BR16_Clusters_1000_12_060121","GSE126669_CD_180",0.111111111111111
"BR16_BR16_Clusters_1000_5_060121","GSE126669_CD_180",0.212121212121212
"BR16_BR16_Clusters_2200_11_060121","GSE126669_CD_180",0.176470588235294
"BR16_BR16_Clusters_2200_23_060121","GSE126669_CD_180",0.212121212121212
"BR16_BR16_Clusters_2200_29_060121","GSE126669_CD_180",0.0810810810810811
"BR16_BR16_Clusters_2200_8_060121","GSE126669_CD_180",0.212121212121212
"BR16_BR16_Singles_2200_11_060121","GSE126669_CD_180",0.0810810810810811
"BR16_BR16_Singles_2200_12_060121","GSE126669_CD_180",0.212121212121212
"BR16_BR16_Singles_2200_17_060121","GSE126669_CD_180",0.111111111111111
"BR16_BR16_Singles_2200_19_060121","GSE126669_CD_180",0.111111111111111
"BR16_BR16_Singles_2200_22_060121","GSE126669_CD_180",0.212121212121212
"BR16_BR16_Singles_2200_28_060121","GSE126669_CD_180",0.142857142857143
"BR16_BR16_WBC_1000_26_060121","GSE126669_CD_180",0.176470588235294
"BR16_BR16_WBC_1000_9_060121","GSE126669_CD_180",0.142857142857143
"BR16_BR16_WBC_2200_12_060121","GSE126669_CD_180",0.25
"BR16_BR16_WBC_2200_13_060121","GSE126669_CD_180",0.212121212121212
"BR16_BR16_WBC_2200_15_060121","GSE126669_CD_180",0.290322580645161
"BR16_BR16_WBC_2200_16_060121","GSE126669_CD_180",0.290322580645161
"BR16_BR16_WBC_2200_18_060121","GSE126669_CD_180",0.290322580645161
"LM2_LM2_Clusters_1000_12_060121","GSE126669_CD_180",0.111111111111111
"LM2_LM2_Clusters_1000_18_060121","GSE126669_CD_180",0.111111111111111
"LM2_LM2_Clusters_1000_2_060121","GSE126669_CD_180",0.0810810810810811
"LM2_LM2_Clusters_1000_22_060121","GSE126669_CD_180",0.0810810810810811
"LM2_LM2_Clusters_1000_5_060121","GSE126669_CD_180",0.0810810810810811
"LM2_LM2_Clusters_1000_9_060121","GSE126669_CD_180",0.111111111111111
"LM2_LM2_Clusters_2200_20_060121","GSE126669_CD_180",0.142857142857143
"LM2_LM2_Clusters_2200_5_060121","GSE126669_CD_180",0.176470588235294
"LM2_LM2_Singles_1000_1_060121","GSE126669_CD_180",0.0810810810810811
"LM2_LM2_Singles_1000_22_060121","GSE126669_CD_180",0.111111111111111
"LM2_LM2_Singles_1000_29_060121","GSE126669_CD_180",0.0810810810810811
"LM2_LM2_Singles_2200_2_060121","GSE126669_CD_180",0.142857142857143
"LM2_LM2_Singles_2200_24_060121","GSE126669_CD_180",0.0810810810810811
"LM2_LM2_WBC_1000_1_060121","GSE126669_CD_180",0.111111111111111
"LM2_LM2_WBC_1000_3_060121","GSE126669_CD_180",0.0810810810810811
