"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HIF_CORE_HANDOFF",0.0086775990796316,0.0442557553061211,0.380730400722792,0.759785640283297,1.67804993532812,9,"VEGFA;P4HA1;HK2;NDRG1;BNIP3;ERO1A"
"HALLMARK_HYPOXIA",0.00206756920981717,0.0210892059401352,0.431707695803346,0.421331941879087,1.57469191833213,133,"VEGFA;PDGFB;INHA;STC2;CCNG2;ATP7A;CITED2;P4HA1;NFIL3;GPC3;PDK1;IER3;FOXO3;TMEM45A;HK2;ERRFI1;NDRG1;SIAH2;KLHL24;GPC4;ENO3;CA12;RORA;AK4;LARGE1;SELENBP1;EFNA3;PDK3;SULT2B1;ANKZF1;ERO1A;ALDOA;GPI;FAM162A;SDC3;PFKL;MXI1;PFKP;GALK1;KDELR3;ATF3;PFKFB3;PGK1"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.00793372239372722,0.0442557553061211,0.380730400722792,0.456115188726018,1.57131371885511,72,"TRIM5;DHX58;SP110;IFIH1;OAS1;NCOA7;IFIT3;UBE2L6;GBP2;IRF9;ELF1;IRF2;PARP14;ISG15;IFITM2;LGALS3BP;UBA7;TDRD7;IFITM1;HLA-C;MX1;PARP12;TRIM14;GMPR;LY6E;BST2;IL4R;OASL;DDX60;IRF7;RIPK2;PLSCR1;TMEM140;TXNIP"
"HALLMARK_IL2_STAT5_SIGNALING",0.00366013635430199,0.0266667077242002,0.431707695803346,0.420277014643718,1.55179006976013,118,"CISH;BATF;P4HA1;IFNGR1;NFIL3;TNFSF10;SLC29A2;CA2;MYO1E;HK2;LRIG1;SLC39A8;SOCS1;NDRG1;PRKCH;TNFRSF1B;UMPS;MXD1;TRAF1;HOPX;ENO3;RORA;AGER;AHR;PHTF2;MAP3K8;UCK2;NCOA3;DCPS;P2RX4;MYC;IGF1R"
"HALLMARK_KRAS_SIGNALING_DN",0.0298859397953473,0.124385620562129,0.352487857583619,0.459802796489217,1.52515706680625,53,"IDUA;TFCP2L1;SPTBN2;SELENOP;EDN1;MYO15A;KRT15;SLC25A23;COQ8A;MACROH2A2;EFHD1;TENT5C;TCF7L1;STAG3;MX1;DTNB;SIDT1;LYPD3;GPRC5C;BTG2;CLSTN3;ZC2HC1C;SPHK2;CDKAL1;NR6A1;ASB7;SKIL;SNN"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.00319319247566246,0.0266667077242002,0.431707695803346,0.402184159201835,1.51994535464807,142,"CISH;DUSP2;BATF;ANXA9;MAPT;OPN3;HOMER2;AGR2;SERPINA5;PRLR;MEST;CA2;PDCD4;KLF4;SIAH2;FRK;FOXC1;IL6ST;PTGES;CA12;FKBP4;SLC22A5;LARGE1;AREG;TPD52L1;SULT2B1;TJP3;TSPAN13;PAPSS2;UNC13B;METTL3;KRT19;BLVRB;JAK1;ASS1;IDH2;NRIP1;AFF1;CLIC3;WFS1;S100A9;PLXNB1"
"HALLMARK_PANCREAS_BETA_CELLS",0.0676328502415459,0.228040540540541,0.219250346703755,0.658141793382663,1.50602184008022,10,"FOXO1;VDR;STXBP1"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.00719835142443907,0.0442557553061211,0.407017918923954,0.392404405937486,1.49417692920153,154,"CISH;SLC1A1;ANXA9;STC2;MAPT;OPN3;REEP1;TMEM164;TTC39A;WWC1;RARA;LRIG1;KLF4;SIAH2;KRT15;FRK;FOXC1;IL6ST;PTGES;CA12;ESRP2;FKBP4;SLC22A5;ABLIM1;AREG;RASGRP1;TPD52L1;ELF1;RETREG1;SULT2B1;TJP3;PAPSS2;SYBU;KRT19;BLVRB;MYC;IGF1R;ENDOD1;INHBB;CELSR1;NRIP1;AFF1;CLIC3;WFS1;SLC37A1;KRT8;NHERF1;CLDN7"
"HALLMARK_HEDGEHOG_SIGNALING",0.0715421303656598,0.228040540540541,0.211400189384923,0.5824413837337,1.45320615845959,15,"VEGFA;NF1;OPHN1;LDB1;CELSR1;TLE1;NRP2"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.0121091707302289,0.0561425188401524,0.380730400722792,0.389814544784248,1.44456330686722,122,"TNFSF10;EIF4E3;DHX58;NAMPT;XAF1;IRF5;SP110;ARID5B;SOCS1;IFIH1;TAPBP;IFIT3;UBE2L6;ISOC1;HLA-B;SAMHD1;IRF9;HLA-A;APOL6;IRF2;PARP14;ISG15;IFITM2;LGALS3BP;TDRD7;NCOA3;IFIT1;MX1;PARP12;PSMB10;TRIM14;RAPGEF6;LY6E;BST2;AUTS2;IL4R;OASL;PTPN2;PFKP;OAS3;HIF1A;RBCK1;DDX60;IFNAR2;IRF7;RIPK2"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.068733153638814,0.228040540540541,0.197822021315103,0.407926522654631,1.3706116676239,60,"NFIL3;CPEB2;TRIB3;SCD;ERRFI1;ATF5;PDK3;TM7SF2;CLU;ECH1;ACSS2;NIBAN1;ATF3;CYP51A1;S100A11;SREBF2;FADS2;PLSCR1;LGALS3;MVD;PNRC1;DHCR7;NSDHL;FDPS;FBXO6;MAL2;HSD17B7;TP53INP1;TMEM97;CXCL16;LGMN;SQLE"
"HALLMARK_GLYCOLYSIS",0.0317061385746604,0.124385620562129,0.321775918075361,0.358243911697483,1.36555576926384,153,"VEGFA;IDUA;STC2;CITED2;P4HA1;GPC3;BPNT1;IER3;HK2;SPAG4;IDH1;CLDN3;ME1;DSC2;GPC4;HS2ST1;FKBP4;AK4;GNPDA1;EFNA3;PDK3;CYB5A;ANKZF1;SRD5A3;ERO1A;ALDOA;PAXIP1;FAM162A;CHPF2;SDC3;PHKA2;SOX9;BIK;HAX1;MXI1;PFKP;GALK1;KDELR3;PGK1;SLC35A3;GMPPB;RBCK1;QSOX1;SDC1;ELF3;XYLT2;GFUS;PYGL;P4HA2;EXT1;GMPPA;ECD;PLOD1;B4GALT4;TGFBI;GAPDHS;LHPP;UGP2"
"HALLMARK_ANGIOGENESIS",0.151515151515152,0.386363636363636,0.141225119642531,0.540170156105234,1.33303107305131,14,"VEGFA;SERPINA5"
