"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.33404230084899e-06,5.3812542100693,1,0.562,0.0140928228661688,"VEGFA"
2.55255928967024e-05,5.3010671300144,1,0.438,0.269652363360764,"ZNF630"
2.74922738143779e-05,4.33038287751627,0.929,0.562,0.290428380575088,"PARP11"
0.000148945135275499,-0.905122896316112,1,1,1,"C19orf53"
0.000181140939678359,2.4600737180501,1,0.75,1,"ABCC5"
0.000183630235107035,2.15154288047335,1,0.875,1,"P4HA1"
0.000409674763580892,3.32247305101482,0.929,0.562,1,"UBALD1"
0.00049308678993909,3.80311761021048,0.643,0.062,1,"SLC1A1"
0.00061877557953327,4.37925172438393,0.929,0.688,1,"CLCN2"
0.000649376034376647,2.38618460316756,1,0.5,1,"ATP7A"
0.000735332368215617,-1.23736050272076,1,1,1,"DRG1"
0.000735332368215617,-1.02747591153475,1,1,1,"HARS1"
0.000843307276530147,2.61099372232137,1,0.562,1,"KICS2"
0.000857637916507947,1.32192194767969,1,0.75,1,"MTRES1"
0.000857637916507947,1.58301002785378,1,0.75,1,"ZNF354A"
0.00089625637817492,2.59151852413712,0.929,0.812,1,"INSIG2"
0.00105024886937355,1.18643429972268,1,0.812,1,"ICA1L"
0.00123579077334446,1.90201977816522,0.929,0.75,1,"LIPT1"
0.00125267947381658,-1.50961805351976,0.929,1,1,"NUP58"
0.00127123228891501,2.01088434115377,0.929,0.688,1,"ZG16B"
0.00133512878923492,4.7482551096207,0.857,0.562,1,"ZNF771"
0.00140672697706656,3.66918676216177,0.714,0.25,1,"ANO7"
0.00148225852673955,1.90053477211818,1,0.812,1,"PIK3R3"
0.00148576554516,1.84348776181318,1,0.938,1,"SIAE"
0.00148576554516,1.70208049410658,1,1,1,"DDHD1"
0.00155865651625464,5.86106525880157,0.857,0.625,1,"FAM13A"
0.00175610852984241,1.21188442779499,1,1,1,"ARFGAP3"
0.00175610852984241,-1.01042479443276,1,1,1,"CPNE1"
0.00177244710977842,4.42450225458309,0.571,0.062,1,"MARVELD2"
0.00206914086816241,-1.06763373980315,1,1,1,"FADD"
0.00206914086816241,-1.03554494902624,1,1,1,"ILF3"
0.00206914086816241,-0.687918321063789,1,1,1,"PET100"
0.00206914086816241,1.08917163454609,1,1,1,"YPEL5"
0.0022776778105642,1.87724302680043,1,0.625,1,"SLC4A11"
0.00232816512280487,0.261970552398322,1,0.562,1,"FBXO46"
0.00242432619259714,2.24254120286806,1,0.812,1,"CBLB"
0.00242432619259714,1.79828944839846,1,0.812,1,"PHLPP1"
0.00242996492809667,-1.0043847278502,1,1,1,"ADAM9"
0.00242996492809667,0.742204277650518,1,1,1,"ARLN"
0.00242996492809667,-1.23941567757877,1,1,1,"RNF24"
0.00266727317456095,2.64466806599485,1,0.625,1,"RHBDL2"
0.00279003257229271,1.38391143088,0.929,0.562,1,"LPAR2"
0.00280721008604767,0.73249333175087,1,0.688,1,"TBC1D13"
0.0028451959090974,-1.2608550897997,0.929,1,1,"FDX2"
0.0028451959090974,1.84955224081913,1,0.938,1,"ZNF566"
0.0028451959090974,-0.765199565830637,1,1,1,"HNRNPR"
0.0028451959090974,1.27980776675808,1,1,1,"PPP1R2"
0.00290496650539573,1.7968515978237,0.929,0.812,1,"DNAH2"
0.00290496650539573,2.07089778618226,0.929,0.812,1,"MACROD2"
0.00298540788085444,0.64741051072681,0.929,0.438,1,"PHF21A"
0.00300676631068741,1.85130841137648,0.857,0.562,1,"KLHL22"
0.00332102266720097,-1.59948061570566,0.929,1,1,"CBL"
0.00332102266720097,1.13257899834148,1,1,1,"CDC73"
0.00343130808176983,0.635641541967778,0.786,0.25,1,"MTARC2"
0.00379914617854471,-2.28070735996906,0.786,0.875,1,"RPH3AL"
0.00381708010803727,0.757132483101633,1,0.875,1,"POGZ"
0.00386535318512055,0.913451533216978,1,0.938,1,"MR1"
0.00386535318512055,-1.06874900225746,1,1,1,"ABL1"
0.00386535318512055,-0.522896662386916,1,1,1,"PPP1CA"
0.00386535318512055,1.37047002259728,1,1,1,"VMA12"
0.00392854828176126,1.92523114616233,0.929,0.688,1,"CBR4"
0.00392854828176126,1.7516685694111,0.929,0.688,1,"ZNF396"
0.00420844961076661,1.31138853091447,1,0.625,1,"UBTD2"
0.00433116774945841,4.81178528251673,0.571,0.125,1,"ZBTB26"
0.00442807148197533,1.19743820587045,1,0.875,1,"TNKS1BP1"
0.0044718610766856,-1.54855661820258,0.857,0.938,1,"SH3KBP1"
0.0044856415961266,1.805796579809,1,1,1,"INSR"
0.0044856415961266,-0.87026510749954,1,1,1,"NDUFAF3"
0.0044856415961266,-1.40272650955506,1,1,1,"VAMP3"
0.0044856415961266,1.20192842246099,1,1,1,"ZDHHC24"
0.0048732840322212,0.866639540538112,1,0.625,1,"LDB1"
0.00498257922982037,2.09922010209158,0.857,0.438,1,"HEXIM2"
0.00502110142039403,1.33251859520362,1,0.75,1,"DPM3"
0.00508243986022117,2.36690834651148,0.929,0.562,1,"DNASE1L1"
0.00508791355955962,2.18555566613558,0.857,0.5,1,"ACVR1"
0.00510504981427415,-1.2531050509362,0.786,0.875,1,"NUDT2"
0.00517517642967302,-1.35762583475972,0.786,1,1,"PPP2R3C"
0.00519121244331395,1.77045707049419,1,0.938,1,"BPNT1"
0.00519121244331395,1.2544477755722,1,1,1,"LIMA1"
0.00519121244331395,-1.08814770398309,1,1,1,"MAPKAP1"
0.00519121244331395,1.20017134781492,1,1,1,"MGST1"
0.00519121244331395,0.997634245853527,1,1,1,"TRIM38"
0.00519121244331395,-1.35425733886103,1,1,1,"VPS13D"
0.00530820932842824,1.4488284038647,0.929,0.812,1,"CCM2"
0.0054592036627028,0.842068247311168,0.857,0.562,1,"DIXDC1"
0.00599088140828107,0.441204790944718,1,0.938,1,"TBCD"
0.00599088140828107,1.30919478480909,1,1,1,"GOSR1"
0.00599088140828107,-1.48482840515083,1,1,1,"QNG1"
0.00599088140828107,1.53270391957774,1,1,1,"SLC30A4"
0.00599088140828107,1.99251341415508,1,1,1,"TEX9"
0.00641715605905402,3.19177233722556,0.786,0.312,1,"CMYA5"
0.00641715605905402,2.75232036970003,0.786,0.312,1,"OPN3"
0.00662964011630218,2.21767156669656,0.857,0.688,1,"MTMR1"
0.00662964011630218,2.56145127436818,0.857,0.688,1,"ZNF768"
0.00680086513330935,1.61555400390884,1,0.875,1,"PATJ"
0.00687944985195776,1.14564321446729,1,0.812,1,"S1PR2"
0.00687944985195776,2.24253195398113,0.929,0.875,1,"MAP4K3"
0.00689559588970565,1.51909867572252,1,0.938,1,"BACE2"
0.00689559588970565,1.34655772867648,1,0.938,1,"GPR157"
0.00689559588970565,1.34818130383462,1,0.938,1,"ZNF664"
0.00689559588970565,-0.624075586033868,1,1,1,"COMMD1"
