"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"VEGFA",1.33404230107104e-06,5.3812542100693,1,0.562,0.0140928228685144
"ZNF630",2.55255928967024e-05,5.3010671300144,1,0.438,0.269652363360764
"PARP11",2.7492273814822e-05,4.33038287751627,0.929,0.562,0.29042838057978
"ABCC5",0.000181140939678137,2.4600737180501,1,0.75,1
"P4HA1",0.000183630235106147,2.15154288047335,1,0.875,1
"UBALD1",0.000409674763581336,3.32247305101482,0.929,0.562,1
"SLC1A1",0.000493086789938424,3.80311761021048,0.643,0.062,1
"CLCN2",0.000618775579530606,4.37925172438393,0.929,0.688,1
"ATP7A",0.000649376034377092,2.38618460316756,1,0.5,1
"KICS2",0.00084330727653037,2.61099372232137,1,0.562,1
"MTRES1",0.000857637916507947,1.32192194767969,1,0.75,1
"ZNF354A",0.000857637916507947,1.58301002785378,1,0.75,1
"INSIG2",0.00089625637817492,2.59151852413712,0.929,0.812,1
"ICA1L",0.00105024886937333,1.18643429972268,1,0.812,1
"LIPT1",0.00123579077334401,1.90201977816522,0.929,0.75,1
"ZG16B",0.00127123228891235,2.01088434115377,0.929,0.688,1
"ZNF771",0.00133512878923447,4.7482551096207,0.857,0.562,1
"ANO7",0.00140672697706878,3.66918676216177,0.714,0.25,1
"PIK3R3",0.00148225852673933,1.90053477211818,1,0.812,1
"SIAE",0.00148576554516,1.84348776181318,1,0.938,1
"DDHD1",0.00148576554516,1.70208049410658,1,1,1
"FAM13A",0.00155865651625509,5.86106525880157,0.857,0.625,1
"ARFGAP3",0.00175610852984241,1.21188442779499,1,1,1
"MARVELD2",0.00177244710977842,4.42450225458309,0.571,0.062,1
"YPEL5",0.00206914086816241,1.08917163454609,1,1,1
"SLC4A11",0.00227767781056154,1.87724302680043,1,0.625,1
"FBXO46",0.00232816512280487,0.261970552398322,1,0.562,1
"CBLB",0.00242432619259692,2.24254120286806,1,0.812,1
"PHLPP1",0.00242432619259692,1.79828944839846,1,0.812,1
"ARLN",0.00242996492809667,0.742204277650518,1,1,1
"RHBDL2",0.00266727317455828,2.64466806599485,1,0.625,1
"LPAR2",0.00279003257229316,1.38391143088,0.929,0.562,1
"TBC1D13",0.00280721008604745,0.73249333175087,1,0.688,1
"ZNF566",0.0028451959090974,1.84955224081913,1,0.938,1
"PPP1R2",0.0028451959090974,1.27980776675808,1,1,1
"DNAH2",0.00290496650539529,1.7968515978237,0.929,0.812,1
"MACROD2",0.00290496650539529,2.07089778618226,0.929,0.812,1
"PHF21A",0.00298540788085488,0.64741051072681,0.929,0.438,1
"KLHL22",0.00300676631068719,1.85130841137648,0.857,0.562,1
"CDC73",0.00332102266720097,1.13257899834148,1,1,1
"MTARC2",0.00343130808176917,0.635641541967778,0.786,0.25,1
"POGZ",0.00381708010803683,0.757132483101633,1,0.875,1
"MR1",0.00386535318512055,0.913451533216978,1,0.938,1
"VMA12",0.00386535318512055,1.37047002259728,1,1,1
"CBR4",0.00392854828175859,1.92523114616233,0.929,0.688,1
"ZNF396",0.00392854828175859,1.7516685694111,0.929,0.688,1
"UBTD2",0.00420844961076394,1.31138853091447,1,0.625,1
"ZBTB26",0.00433116774945863,4.81178528251673,0.571,0.125,1
"TNKS1BP1",0.00442807148197488,1.19743820587045,1,0.875,1
"INSR",0.0044856415961266,1.805796579809,1,1,1
"ZDHHC24",0.0044856415961266,1.20192842246099,1,1,1
"LDB1",0.00487328403221854,0.866639540538112,1,0.625,1
"HEXIM2",0.00498257922982104,2.09922010209158,0.857,0.438,1
"DPM3",0.00502110142039403,1.33251859520362,1,0.75,1
"DNASE1L1",0.00508243986022117,2.36690834651148,0.929,0.562,1
"ACVR1",0.00508791355956006,2.18555566613558,0.857,0.5,1
"BPNT1",0.00519121244331395,1.77045707049419,1,0.938,1
"LIMA1",0.00519121244331395,1.2544477755722,1,1,1
"MGST1",0.00519121244331395,1.20017134781492,1,1,1
"TRIM38",0.00519121244331395,0.997634245853527,1,1,1
"CCM2",0.00530820932842824,1.4488284038647,0.929,0.812,1
"DIXDC1",0.00545920366270258,0.842068247311168,0.857,0.562,1
"TBCD",0.00599088140828107,0.441204790944718,1,0.938,1
"GOSR1",0.00599088140828107,1.30919478480909,1,1,1
"SLC30A4",0.00599088140828107,1.53270391957774,1,1,1
"TEX9",0.00599088140828107,1.99251341415508,1,1,1
"CMYA5",0.00641715605905335,3.19177233722556,0.786,0.312,1
"OPN3",0.00641715605905335,2.75232036970003,0.786,0.312,1
"MTMR1",0.0066296401163024,2.21767156669656,0.857,0.688,1
"ZNF768",0.0066296401163024,2.56145127436818,0.857,0.688,1
"PATJ",0.00680086513330891,1.61555400390884,1,0.875,1
"S1PR2",0.00687944985195732,1.14564321446729,1,0.812,1
"MAP4K3",0.00687944985195732,2.24253195398113,0.929,0.875,1
"BACE2",0.00689559588970565,1.51909867572252,1,0.938,1
"GPR157",0.00689559588970565,1.34655772867648,1,0.938,1
"ZNF664",0.00689559588970565,1.34818130383462,1,0.938,1
"PPARA",0.00689559588970565,1.29093001271774,1,1,1
"QSOX1",0.00689559588970565,0.5991376925386,1,1,1
"ARHGEF11",0.00723979255642226,2.15036003184005,0.929,0.5,1
"GON7",0.00761589621425962,2.01178503683508,0.929,0.625,1
"NSMF",0.0078156724871139,1.65730383087363,1,0.688,1
"STARD10",0.0078156724871139,1.28674972933146,1,0.688,1
"ENTREP3",0.00791561563559466,1.56021216063146,1,0.938,1
"CD164",0.00791561563559466,1.64935329730878,1,1,1
"CLK1",0.00791561563559466,0.683398413250281,1,1,1
"FAM3A",0.00791561563559466,1.25168628949722,1,1,1
"LUC7L2",0.00791561563559466,0.896326040250538,1,1,1
"TBC1D8",0.00791561563559466,0.757613715789141,1,1,1
"MCRIP2",0.00810001603945198,0.701056543916921,0.929,0.812,1
"RFX1",0.00810001603945198,1.82594451257566,0.929,0.812,1
"UQCRHL",0.0087250079810457,1.49167767781067,0.857,0.688,1
"ATP8B1",0.00875987187005056,1.06186173693213,1,0.75,1
"ZNF783",0.00875987187005056,1.34586193875765,1,0.75,1
"AMDHD2",0.00892105718726466,0.724514649212818,1,0.375,1
"DHRS11",0.0089506399191186,1.07793312566809,1,0.688,1
"NIPAL1",0.0089506399191186,2.56536823723596,0.857,0.812,1
"BCL2L13",0.00904264757885942,1.06047387484246,1,0.812,1
"UTP20",0.00904264757885942,1.75998700226374,1,0.812,1
"EIF1AD",0.00906356591226231,0.91918664085052,1,0.938,1
"SLC39A8",0.00950227328716102,1.35507887058094,0.929,0.5,1
"LYRM9",0.00964464448202462,1.67836607065628,0.786,0.25,1
"NOTCH3",0.00975274316746,1.33018772660292,1,0.625,1
"HEMK2",0.00997231002661714,1.58924789505421,0.929,0.625,1
"SYT17",0.00997231002661714,2.17501343702981,0.929,0.625,1
"ESRP2",0.0100132252415244,1.08645656219869,0.857,0.438,1
"CIB2",0.0101949025487256,3.805938945467,0.5,0.125,1
"FN3KRP",0.0102006375553194,0.799906739336222,1,0.875,1
"XPO6",0.0102006375553194,1.32099661900337,1,0.875,1
"C1orf35",0.010328004212548,0.959817639693853,1,0.812,1
"ATXN7L3B",0.010328004212548,1.07481509831265,0.929,0.875,1
"ZNF708",0.0103513293232984,1.95049414861724,1,0.938,1
"SNAP23",0.0103513293232984,0.924801169893015,1,1,1
"TMEM150A",0.0112358406280175,0.98718271100091,0.929,0.312,1
"BFSP1",0.0113682408881559,1.65988521484773,0.929,0.625,1
"TMEM54",0.0117666519337509,1.14548358974291,1,0.812,1
"PIK3C2B",0.0117666519337509,3.20120666737565,0.929,0.875,1
"ARFGAP1",0.0117933052737477,0.690398887533464,1,0.938,1
"MIEF2",0.0117933052737477,1.76392356320839,1,0.938,1
"ZNF250",0.0117933052737477,1.33874385687261,1,0.938,1
"KYAT3",0.0122724327550707,1.58717863527167,0.857,0.625,1
"DSE",0.0123489270156802,1.79687721364535,0.929,0.5,1
"PPFIBP2",0.0127790387571951,2.14320920038437,0.714,0.25,1
"CTPS2",0.0129300743505096,1.11511198270726,1,0.562,1
"SLX4IP",0.0129300743505096,1.41957595547546,0.929,0.625,1
"PCMTD1",0.0129526567985356,1.13561955793704,1,0.75,1
"WDR36",0.0129526567985356,1.32337060525784,1,0.75,1
"DNAJB9",0.0132278683499667,1.79960972325174,0.857,0.5,1
"HDAC10",0.0132278683499667,1.66545747417088,0.857,0.5,1
"CDK20",0.0133933033483258,4.36059371930928,0.5,0.125,1
"EEF2K",0.0134029854697694,1.35883889088222,1,1,1
"GNPTG",0.0134029854697694,0.906248306721247,1,1,1
"MIPOL1",0.0134029854697694,1.52369188577963,1,1,1
"NF1",0.0134029854697694,1.58914454551957,1,1,1
"PGK1",0.0134029854697694,0.639367653556612,1,1,1
"SCAMP4",0.0134029854697694,0.840352517152719,1,1,1
"SSR4",0.0134029854697694,0.65211706591964,1,1,1
"TSC22D3",0.0134029854697694,0.985830176339074,1,1,1
"TTC3",0.0134029854697694,0.95456441870417,1,1,1
"ZNF605",0.0134029854697694,1.11800110332215,1,1,1
"TFR2",0.0136020603389395,2.80372360278875,0.929,0.688,1
"LMBRD1",0.014686843024996,1.17663823397767,1,0.75,1
"TTC13",0.0148567202466878,1.10561120001552,0.929,0.562,1
"ARID5B",0.0149649289562306,1.41639512655647,1,0.875,1
"SLC12A2",0.0149649289562306,2.11694476037559,1,0.875,1
"CNIH3",0.0150039049962463,1.49318763842663,0.857,0.5,1
"HIPK1",0.0151630823735018,1.29763564730473,1,0.812,1
"MORN1",0.0151630823735018,1.30939202280303,1,0.812,1
"CTSS",0.0151630823735018,2.18190693978955,0.929,0.875,1
"IVNS1ABP",0.0151630823735018,1.13425848139021,0.929,0.875,1
"RXYLT1",0.0151966534792459,1.01829028713992,1,0.938,1
"SOX4",0.0151966534792459,2.23479279795977,1,0.938,1
"WDR20",0.0151966534792459,0.789205042229361,1,0.938,1
"ZNF675",0.0151966534792459,1.64723608698141,1,0.938,1
"ADH5",0.0151966534792459,0.703014602564034,1,1,1
"ADNP",0.0151966534792459,0.753505728437459,1,1,1
"ERGIC1",0.0151966534792459,1.06862693659068,1,1,1
"HGSNAT",0.0151966534792459,1.04303714358628,1,1,1
"NAPG",0.0151966534792459,0.736762393529016,1,1,1
"RAB29",0.0151966534792459,1.84625653706431,1,1,1
"STXBP3",0.0151966534792459,1.38055577121468,1,1,1
"TPMT",0.0151966534792459,1.19275250224142,1,1,1
"WIPF2",0.0151966534792459,0.991204749413253,1,1,1
"TSPAN12",0.0153167447923785,2.48409566908985,0.714,0.375,1
"GABPA",0.0155609295455472,1.19032505275749,0.929,0.812,1
"PRICKLE3",0.0155609295455472,1.25172174225393,0.929,0.812,1
"SPIN4",0.0158987448140395,0.806838338674321,0.929,0.5,1
"STON2",0.0166071900410305,2.42067105582339,0.857,0.688,1
"EXOC4",0.0169237018917441,1.28230345360643,1,0.875,1
"MGRN1",0.0169237018917441,1.15432761774835,1,0.875,1
"MYO6",0.0169237018917441,1.31206731832407,1,0.875,1
"POGLUT1",0.0169910779044602,1.32357746846005,1,0.688,1
"ABCC6",0.0169910779044602,2.32611316809656,0.929,0.75,1
"EPHA1",0.0169910779044602,1.04998641374935,0.929,0.75,1
"POLN",0.0169910779044602,2.08881512666355,0.929,0.75,1
"IDUA",0.0170032630743451,3.35085066972535,0.786,0.375,1
"PIGM",0.017152455763862,1.12301887399321,1,0.812,1
"AK4",0.0171894651229597,1.04609886262349,1,0.938,1
"ADGRV1",0.0171894651229597,1.64519664585248,1,1,1
"GANC",0.0171894651229597,1.3952578041521,1,1,1
"GTF2H5",0.0171894651229597,0.601354245251566,1,1,1
"TMEM154",0.0171894651229597,0.985920909392959,1,1,1
"LYSMD1",0.0173701109541549,1.22511187143919,0.857,0.375,1
"UBXN2B",0.0174552283541751,1.13009407610654,0.929,0.938,1
"CGNL1",0.0178886958309632,1.34386297506437,0.929,0.438,1
"DNLZ",0.0178886958309632,1.10437696426023,0.929,0.438,1
"SLC29A2",0.0178886958309632,1.64915525250063,0.929,0.438,1
"CBX8",0.0178886958309632,1.85139766070184,0.786,0.562,1
"VARS2",0.0179776778277527,3.99327333323616,0.571,0.188,1
"DNAJC4",0.0183742734755774,1.22242934318211,1,0.625,1
"SUSD6",0.0183742734755774,2.0104204742501,1,0.625,1
"CPNE7",0.0186804568132171,1.57390238127892,0.714,0.25,1
"CMTM8",0.0187083754304478,1.45603658358147,0.714,0.312,1
"TAPBPL",0.0187499232839721,1.87543191463739,0.786,0.438,1
"TCEANC",0.0187527839107622,1.70212327591227,1,0.75,1
