sample_id,dataset,origin,number of cells,number of ctc,number of wbc attached,sample type,cell type,ctc-cluster size,ctc-cluster id,sample cell type,sample cell type cat,mouse type,donor
GSM2966406,GSE109761,xenograft,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,LM2
GSM2966407,GSE109761,xenograft,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,LM2
GSM2966408,GSE109761,xenograft,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,LM2
GSM2966409,GSE109761,xenograft,2,2,0,CTC-cluster,CTC,2,LM2-1,CTC.cluster.ctc,CTC.cluster.ctc,NA,LM2
GSM2966410,GSE109761,xenograft,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,LM2
GSM2966411,GSE109761,xenograft,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,LM2
GSM2966412,GSE109761,xenograft,2,2,0,CTC-cluster,CTC,2,LM2-2,CTC.cluster.ctc,CTC.cluster.ctc,NA,LM2
GSM2966413,GSE109761,xenograft,2,2,0,CTC-cluster,CTC,2,LM2-3,CTC.cluster.ctc,CTC.cluster.ctc,NA,LM2
GSM2966414,GSE109761,xenograft,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,LM2
GSM2966415,GSE109761,xenograft,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,LM2
GSM2966416,GSE109761,xenograft,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,LM2
GSM2966417,GSE109761,xenograft,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,LM2
GSM2966418,GSE109761,xenograft,2,2,0,CTC-cluster,CTC,2,LM2-4,CTC.cluster.ctc,CTC.cluster.ctc,NA,LM2
GSM2966419,GSE109761,xenograft,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,LM2
GSM2966420,GSE109761,xenograft,2,2,0,CTC-cluster,CTC,2,LM2-5,CTC.cluster.ctc,CTC.cluster.ctc,NA,LM2
GSM2966421,GSE109761,xenograft,2,2,0,CTC-cluster,CTC,2,LM2-6,CTC.cluster.ctc,CTC.cluster.ctc,NA,LM2
GSM2966422,GSE109761,xenograft,1,1,0,CTC-cluster-WBC,CTC,3,LM2-7,CTC.cluster.WBC.ctc,CTC.cluster.WBC.ctc,NA,LM2
GSM2966423,GSE109761,xenograft,1,1,0,CTC-cluster-WBC,CTC,5,LM2-8,CTC.cluster.WBC.ctc,CTC.cluster.WBC.ctc,NA,LM2
GSM2966424,GSE109761,xenograft,1,1,0,CTC-cluster-WBC,CTC,5,LM2-8,CTC.cluster.WBC.ctc,CTC.cluster.WBC.ctc,NA,LM2
GSM2966425,GSE109761,xenograft,1,1,0,CTC-cluster-WBC,CTC,5,LM2-8,CTC.cluster.WBC.ctc,CTC.cluster.WBC.ctc,NA,LM2
GSM2966427,GSE109761,xenograft,2,2,0,CTC-cluster,CTC,2,LM2-9,CTC.cluster.ctc,CTC.cluster.ctc,NA,LM2
GSM2966428,GSE109761,xenograft,2,2,0,CTC-cluster,CTC,2,LM2-10,CTC.cluster.ctc,CTC.cluster.ctc,NA,LM2
GSM2966429,GSE109761,xenograft,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,LM2
GSM2966430,GSE109761,xenograft,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,LM2
GSM2966431,GSE109761,xenograft,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,LM2
GSM2966432,GSE109761,xenograft,2,2,0,CTC-cluster,CTC,2,LM2-11,CTC.cluster.ctc,CTC.cluster.ctc,NA,LM2
GSM2966433,GSE109761,xenograft,5,5,0,CTC-cluster,CTC,5,LM2-12,CTC.cluster.ctc,CTC.cluster.ctc,NA,LM2
GSM2966435,GSE109761,xenograft,3,3,0,CTC-cluster,CTC,3,Br16-1,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br16
GSM2966437,GSE109761,xenograft,3,3,0,CTC-cluster-WBC,CTC,3,NSG-Br16-2,CTC.cluster.WBC.ctc,CTC.cluster.WBC.ctc,NA,Br16
GSM2966439,GSE109761,xenograft,2,2,0,CTC-cluster,CTC,2,NSG-Br16-3,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br16
GSM2966441,GSE109761,xenograft,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br16
GSM2966442,GSE109761,xenograft,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br16
GSM2966443,GSE109761,xenograft,4,4,0,CTC-cluster,CTC,4,NSG-Br16-4,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br16
GSM2966444,GSE109761,xenograft,3,3,0,CTC-cluster,CTC,3,NSG-Br16-5,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br16
GSM2966445,GSE109761,xenograft,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br16
GSM2966446,GSE109761,xenograft,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br16
GSM2966447,GSE109761,xenograft,1,1,0,CTC-cluster-WBC,CTC,3,NSG-Br16-7,CTC.cluster.WBC.ctc,CTC.cluster.WBC.ctc,NA,Br16
GSM2966448,GSE109761,xenograft,1,1,0,CTC-cluster-WBC,CTC,3,NSG-Br16-7,CTC.cluster.WBC.ctc,CTC.cluster.WBC.ctc,NA,Br16
GSM2966449,GSE109761,xenograft,2,2,0,CTC-cluster,CTC,2,NSG-Br16-8,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br16
GSM2966450,GSE109761,xenograft,2,2,0,CTC-cluster,CTC,2,NSG-Br16-9,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br16
GSM2966451,GSE109761,xenograft,3,3,0,CTC-cluster,CTC,3,NSG-Br16-10,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br16
GSM2966452,GSE109761,xenograft,4,4,0,CTC-cluster,CTC,4,NSG-Br16-11,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br16
GSM2966453,GSE109761,xenograft,2,2,0,CTC-cluster,CTC,2,NSG-Br16-12,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br16
GSM2966454,GSE109761,xenograft,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br16
GSM2966455,GSE109761,xenograft,3,3,0,CTC-cluster,CTC,3,NA,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br16
GSM2966456,GSE109761,xenograft,2,2,0,CTC-cluster,CTC,2,NSG-Br16-13,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br16
GSM2966457,GSE109761,xenograft,2,2,0,CTC-cluster,CTC,2,NSG-Br16-14,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br16
GSM2966458,GSE109761,xenograft,1,1,0,CTC-single-WBC,CTC,NA,sBr16-NSG-1,CTC.single.WBC.ctc,CTC.single.WBC.ctc,NA,Br16
GSM2966459,GSE109761,xenograft,2,2,0,CTC-cluster,CTC,2,NSG-Br16-15,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br16
GSM2966460,GSE109761,xenograft,1,1,0,CTC-cluster,CTC,4,NSG-Br16-16,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br16
GSM2966461,GSE109761,xenograft,3,3,0,CTC-cluster,CTC,4,NSG-Br16-16,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br16
GSM2966462,GSE109761,xenograft,5,5,0,CTC-cluster,CTC,5,NSG-Br16-17,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br16
GSM2966463,GSE109761,xenograft,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br16
GSM2966464,GSE109761,xenograft,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br16
GSM2966465,GSE109761,xenograft,2,2,0,CTC-cluster,CTC,2,NSG-Br16-18,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br16
GSM2966466,GSE109761,xenograft,2,2,0,CTC-cluster,CTC,2,NSG-Br16-19,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br16
GSM2966467,GSE109761,xenograft,2,2,0,CTC-cluster,CTC,2,NSG-Br16-20,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br16
GSM2966468,GSE109761,xenograft,2,2,0,CTC-cluster,CTC,2,NSG-Br16-21,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br16
GSM2966469,GSE109761,xenograft,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br16
GSM2966470,GSE109761,xenograft,3,3,0,CTC-cluster,CTC,3,NSG-Br16-22,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br16
GSM2966471,GSE109761,xenograft,3,3,0,CTC-cluster,CTC,3,NSG-Br16-23,CTC.cluster.ctc,CTC.cluster.ctc,NA,Br16
GSM2966472,GSE109761,xenograft,1,1,0,CTC-single,CTC,NA,NA,CTC.single.ctc,CTC.single.ctc,NA,Br16
GSM2966473,GSE109761,xenograft,3,3,0,CTC-cluster-WBC,CTC,3,NSG-Br16-24,CTC.cluster.WBC.ctc,CTC.cluster.WBC.ctc,NA,Br16
